number,Ingredient,Category,Source,Safety,Evidence
1130,Marula Fruit,Herbal – Africa & Amazon,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1131,Moringa oleifera Leaf Powder,Herbal – Africa & Amazon,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1132,Muira Puama (Ptychopetalum olacoides),Herbal – Africa & Amazon,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1133,Pelargonium sidoides Root,Herbal – Africa & Amazon,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1134,Prunus africana Bark,Herbal – Africa & Amazon,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1135,Rooibos Leaf (Aspalathus linearis),Herbal – Africa & Amazon,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1136,Sangre de Drago Resin,Herbal – Africa & Amazon,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1137,Suma Root (Pfaffia paniculata),Herbal – Africa & Amazon,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1138,Sutherlandia frutescens (Cancer Bush),Herbal – Africa & Amazon,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1139,Vernonia amygdalina (Bitter Leaf),Herbal – Africa & Amazon,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1140,Voacanga africana Seed,Herbal – Africa & Amazon,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1141,Warburgia salutaris,Herbal – Africa & Amazon,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1142,Ximenia africana Seed Oil,Herbal – Africa & Amazon,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1143,Yerba Mate (Ilex paraguariensis),Herbal – Africa & Amazon,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1144,Aegle marmelos (Bael),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1145,Asparagus racemosus (Shatavari),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1146,Azadirachta indica (Neem),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1147,Bacopa monnieri (Brahmi),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Emerging Evidence
1148,Berberis aristata (Daruharidra),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1149,Boswellia serrata (Shallaki),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1150,Carthamus tinctorius (Safflower),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1151,Centella asiatica (Gotu Kola),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1152,Chlorophytum borivilianum (Safed Musli),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1153,Cinnamomum verum (Ceylon Cinnamon),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1154,Cissus quadrangularis,Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1155,Coleus forskohlii,Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1156,Commiphora mukul (Guggul),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1157,Convolvulus pluricaulis (Shankhpushpi),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1158,Coriandrum sativum (Coriander),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1159,Crocus sativus (Saffron),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1160,Cuminum cyminum (Cumin),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1161,Curcuma longa (Turmeric),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1162,Emblica officinalis (Amla),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1163,Foeniculum vulgare (Fennel),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1164,Gymnema sylvestre,Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1165,Hemidesmus indicus (Indian Sarsaparilla),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1166,Kaempferia galanga,Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1167,Momordica charantia (Bitter Melon),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1168,Mucuna pruriens,Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1169,Nardostachys jatamansi (Jatamansi),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1170,Nigella sativa (Black Seed),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1171,Ocimum sanctum (Tulsi),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1172,Phyllanthus niruri (Chanca Piedra),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1173,Picrorhiza kurroa (Kutki),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1174,Piper betle (Betel Leaf),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1175,Piper longum (Long Pepper),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1176,Piper nigrum (Black Pepper),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1177,Pterocarpus marsupium,Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1178,Punica granatum (Pomegranate),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1179,Rauwolfia serpentina (Sarpagandha),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
1180,Sesamum indicum (Sesame),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1181,Syzygium cumini (Jamun),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1182,Terminalia bellerica (Bibhitaki),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1183,Terminalia chebula (Haritaki),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1184,Tinospora cordifolia (Guduchi),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1185,Trachyspermum ammi (Ajwain),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1186,Tribulus terrestris,Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1187,Trigonella foenum-graecum (Fenugreek),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1188,Valeriana wallichii (Tagara),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1189,Withania somnifera (Ashwagandha),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
1190,Zingiber officinale (Ginger),Herbal – Ayurveda,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1191,Ayahuasca Vine (Banisteriopsis caapi),Herbal – Ethnobotanical,Vegan / Plant-Based,Restricted/Controlled or High-Risk,Traditional Use / Mixed Evidence
1192,Betel Nut (Areca catechu),Herbal – Ethnobotanical,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1193,Blue Lotus (Nymphaea caerulea),Herbal – Ethnobotanical,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1194,Chacruna Leaf (Psychotria viridis),Herbal – Ethnobotanical,Vegan / Plant-Based,Restricted/Controlled or High-Risk,Traditional Use / Mixed Evidence
1195,Cola acuminata (Kola Nut),Herbal – Ethnobotanical,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1196,Corynanthe yohimbe Bark,Herbal – Ethnobotanical,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1197,Desmodium gangeticum,Herbal – Ethnobotanical,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1198,Guayule (Parthenium argentatum),Herbal – Ethnobotanical,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1199,Heimia salicifolia,Herbal – Ethnobotanical,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1200,Iboga Root (Tabernanthe iboga),Herbal – Ethnobotanical,Vegan / Plant-Based,Restricted/Controlled or High-Risk,Traditional Use / Mixed Evidence
1201,Justicia pectoralis,Herbal – Ethnobotanical,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1202,Kava Kava Root (Piper methysticum),Herbal – Ethnobotanical,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1203,Khat Leaf (Catha edulis),Herbal – Ethnobotanical,Vegan / Plant-Based,Restricted/Controlled or High-Risk,Traditional Use / Mixed Evidence
1204,Mitragyna hirsuta,Herbal – Ethnobotanical,Vegan / Plant-Based,Restricted/Controlled or High-Risk,Traditional Use / Mixed Evidence
1205,Mitragyna speciosa (Kratom),Herbal – Ethnobotanical,Vegan / Plant-Based,Restricted/Controlled or High-Risk,Traditional Use / Mixed Evidence
1206,Paullinia yoco,Herbal – Ethnobotanical,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1207,Peyote Cactus (Lophophora williamsii),Herbal – Ethnobotanical,Vegan / Plant-Based,Restricted/Controlled or High-Risk,Traditional Use / Mixed Evidence
1208,Psychotria carthaginensis,Herbal – Ethnobotanical,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1209,San Pedro Cactus (Echinopsis pachanoi),Herbal – Ethnobotanical,Vegan / Plant-Based,Restricted/Controlled or High-Risk,Traditional Use / Mixed Evidence
1210,Sceletium tortuosum (Kanna),Herbal – Ethnobotanical,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1211,Tabernaemontana divaricata,Herbal – Ethnobotanical,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1212,Voacanga africana Root,Herbal – Ethnobotanical,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1213,Aframomum melegueta,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1214,Ageratum conyzoides,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1215,Agrimonia eupatoria,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1216,Alchemilla alpina,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1217,Allium ursinum,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1218,Aloe ferox,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1219,Alpinia galanga,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1220,Althaea officinalis Root,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1221,Ammi visnaga,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1222,Andrographis paniculata,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1223,Angelica archangelica,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1224,Arctostaphylos uva-ursi,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1225,Aristolochia fangchi (historic),Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1226,Armoracia rusticana,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1227,Artemisia absinthium,Herbal – Global Expansion A,Vegan / Plant-Based,Restricted/Controlled or High-Risk,Traditional Use / Mixed Evidence
1228,Artemisia dracunculus,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1229,Artemisia vulgaris,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1230,Asarum europaeum,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1231,Asclepias tuberosa,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1232,Ballota nigra,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1233,Bauhinia forficata,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1234,Berberis vulgaris,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1235,Betula pendula,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1236,Betula pubescens,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1237,Boswellia carterii,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1238,Brassica nigra,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1239,Bryonia alba (historic),Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1240,Calendula officinalis Flower,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1241,Cannabis sativa (hemp seed products),Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1242,Carthamus tinctorius,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1243,Cassia fistula,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1244,Castanea sativa Leaf,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1245,Centaurium erythraea,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1246,Centaurium pulchellum,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1247,Chamaemelum nobile,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1248,Chelidonium majus,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1249,Chenopodium ambrosioides,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1250,Cichorium intybus Root,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1251,Cimicifuga racemosa,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1252,Cinnamomum verum Bark,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1253,Cirsium vulgare,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1254,Citrus aurantium Peel,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1255,Citrus limon Peel,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1256,Citrus sinensis Peel,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1257,Cola nitida,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1258,Colchicum autumnale (historic),Herbal – Global Expansion A,Vegan / Plant-Based,Restricted/Controlled or High-Risk,Traditional Use / Mixed Evidence
1259,Convallaria majalis (historic),Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1260,Coptis chinensis,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1261,Crataegus laevigata,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1262,Crataegus monogyna,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1263,Crocus sativus Stigma,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1264,Cuminum cyminum Seed,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1265,Curcuma zedoaria,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1266,Cynara scolymus Leaf,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1267,Datura stramonium (historic),Herbal – Global Expansion A,Vegan / Plant-Based,Restricted/Controlled or High-Risk,Traditional Use / Mixed Evidence
1268,Dianthus superbus,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1269,Dictamnus albus,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1270,Drosera rotundifolia,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1271,Echinacea pallida,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1272,Elaeagnus angustifolia,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1273,Elecampane (Inula helenium),Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1274,Elettaria cardamomum,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1275,Ephedra sinica (historic),Herbal – Global Expansion A,Vegan / Plant-Based,Restricted/Controlled or High-Risk,Traditional Use / Mixed Evidence
1276,Equisetum telmateia,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1277,Eriodictyon californicum,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1278,Eschscholzia californica,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1279,Eucalyptus globulus Leaf,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1280,Eupatorium perfoliatum,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1281,Euphrasia officinalis,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1282,Filipendula ulmaria Herb,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1283,Foeniculum vulgare Seed,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1284,Fragaria vesca Leaf,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1285,Fumaria officinalis,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1286,Galega officinalis,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1287,Galium aparine,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1288,Gentiana lutea Root,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1289,Geranium robertianum,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1290,Glechoma hederacea,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1291,Glycyrrhiza glabra Root,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1292,Grindelia robusta,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1293,Guaiacum officinale,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1294,Hamamelis virginiana Leaf,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1295,Harpagophytum procumbens Root,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1296,Hedeoma pulegioides,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1297,Helichrysum arenarium,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1298,Heliotropium arborescens (historic),Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1299,Helleborus niger (historic),Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1300,Hibiscus sabdariffa Calyx,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1301,Hoodia gordonii Stem,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1302,Humulus lupulus Strobile,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1303,Hydrastis canadensis Root,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1304,Hyssopus officinalis Herb,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1305,Illicium verum,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1306,Inula britannica,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1307,Iris germanica (historic),Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1308,Juglans regia Leaf,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1309,Justicia adhatoda,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Strong Clinical Evidence
1310,Laminaria digitata,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1311,Laurus nobilis Leaf,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1312,Lavandula angustifolia Flower,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1313,Leonurus cardiaca Herb,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1314,Leuzea carthamoides Root,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1315,Ligusticum porteri (Osha),Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1316,Lippia citriodora,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1317,Lithospermum officinale,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1318,Lobelia inflata (historic),Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1319,Lonicera japonica Flower,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1320,Lycopodium clavatum (Clubmoss),Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1321,Lythrum salicaria,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1322,Malva sylvestris Flower,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1323,Matricaria chamomilla Flower,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1324,Melilotus officinalis Herb,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1325,Melissa officinalis Leaf,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1326,Menthapulegium (historic),Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1327,Menyanthes trifoliata,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1328,Mitchella repens,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1329,Monarda fistulosa,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1330,Myrtus communis Leaf,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1331,Nasturtium officinale,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1332,Nepeta cataria,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1333,Ocimum basilicum Leaf,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1334,Ocimum tenuiflorum (Tulsi),Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1335,Oenanthe javanica,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1336,Ononis spinosa Root,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1337,Panax quinquefolius Root,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1338,Papaver rhoeas Petal,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1339,Parietaria officinalis,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1340,Passiflora edulis Flower,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1341,Petasites hybridus (PA-free),Herbal – Global Expansion A,Vegan / Plant-Based,Caution (PA alkaloids / processing required),Traditional Use / Mixed Evidence
1342,Petroselinum crispum,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
1343,Peumus boldus Leaf,Herbal – Global Expansion A,Vegan / Plant-Based,General Dietary Use,Traditional Use / Mixed Evidence
